price,rating,title,url
Â£51.77,Three,A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Â£53.74,One,Tipping the Velvet,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Â£50.10,One,Soumission,https://books.toscrape.com/catalogue/soumission_998/index.html
Â£47.82,Four,Sharp Objects,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
Â£54.23,Five,Sapiens: A Brief History of Humankind,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
Â£22.65,One,The Requiem Red,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
Â£33.34,Four,The Dirty Little Secrets of Getting Your Dream Job,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
Â£17.93,Three,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
Â£22.60,Four,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
Â£52.15,One,The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
Â£13.99,Two,"Starving Hearts (Triangular Trade Trilogy, #1)",https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Â£20.66,Four,Shakespeare's Sonnets,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Â£17.46,Five,Set Me Free,https://books.toscrape.com/catalogue/set-me-free_988/index.html
Â£52.29,Five,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Â£35.02,Five,Rip it Up and Start Again,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
Â£57.25,Three,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Â£23.88,One,Olio,https://books.toscrape.com/catalogue/olio_984/index.html
Â£37.59,One,Mesaerion: The Best Science Fiction Stories 1800-1849,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Â£51.33,Two,Libertarianism for Beginners,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
Â£45.17,Two,It's Only the Himalayas,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
Â£12.84,One,In Her Wake,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
Â£37.32,Two,How Music Works,https://books.toscrape.com/catalogue/how-music-works_979/index.html
Â£30.52,Three,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Â£25.27,Five,Chase Me (Paris Nights #2),https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Â£34.53,Five,Black Dust,https://books.toscrape.com/catalogue/black-dust_976/index.html
Â£54.64,Three,Birdsong: A Story in Pictures,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
Â£22.50,Three,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Â£53.13,Three,Aladdin and His Wonderful Lamp,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
Â£40.30,Five,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Â£44.18,Four,Wall and Piece,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
Â£17.66,Five,The Four Agreements: A Practical Guide to Personal Freedom,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
Â£31.05,Three,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
Â£23.82,Five,The Elephant Tree,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
Â£36.89,One,The Bear and the Piano,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
Â£15.94,Five,Sophie's World,https://books.toscrape.com/catalogue/sophies-world_966/index.html
Â£33.29,Three,Penny Maybe,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
Â£18.02,Two,Maude (1883-1993):She Grew Up with the country,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
Â£19.63,One,"In a Dark, Dark Wood",https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Â£52.22,Four,Behind Closed Doors,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
Â£33.63,Two,You can't bury them all: Poems,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Â£57.31,Three,Slow States of Collapse: Poems,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Â£26.41,Two,Reasons to Stay Alive,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
Â£47.61,Five,Private Paris (Private #10),https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
Â£23.11,Five,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
Â£45.07,Two,Without Borders (Wanderlove #1),https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
